Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,"Percent of patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their nurses ""Usually"" communicated well.","Percent of patients who reported that their nurses ""Always"" communicated well.","Percent of patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their doctors ""Usually"" communicated well.","Percent of patients who reported that their doctors ""Always"" communicated well.","Percent of patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted.","Percent of patients who reported that they ""Usually"" received help as soon as they wanted.","Percent of patients who reported that they ""Always"" received help as soon as they wanted.","Percent of patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled.","Percent of patients who reported that their pain was ""Usually"" well controlled.","Percent of patients who reported that their pain was ""Always"" well controlled.","Percent of patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Usually"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Always"" explained about medicines before giving it to them.","Percent of patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean.","Percent of patients who reported that their room and bathroom were ""Usually"" clean.","Percent of patients who reported that their room and bathroom were ""Always"" clean.","Percent of patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night.","Percent of patients who reported that the area around their room was ""Usually"" quiet at night.","Percent of patients who reported that the area around their room was ""Always"" quiet at night.","Percent of patients who reported that YES,they were given information about what to do during their recovery at home.",Percent of patients who reported that they were not given information about what to do during their recovery at home.,Percent of patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest).,"Percent of patients who reported NO,they would not recommend the hospital.","Percent of patients who reported YES,they would probably recommend the hospital.","Percent of patients who reported YES,they would definitely recommend the hospital.",Number of Completed Surveys,Survey Response Rate Percent,Hospital Footnote
110024,CANDLER HOSPITAL,5353 REYNOLDS STREET,,,SAVANNAH,GA,31412,CHATHAM,9128196000,8%,21%,71%,5%,17%,78%,19%,28%,53%,8%,25%,67%,24%,17%,59%,17%,21%,62%,16%,36%,48%,81%,19%,10%,27%,63%,6%,24%,70%,300 or more,23%,
110025,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,2415 PARKWOOD DRIVE,,,BRUNSWICK,GA,31520,GLYNN,9124667000,6%,22%,72%,5%,16%,79%,14%,29%,57%,9%,23%,68%,28%,19%,53%,13%,25%,62%,16%,30%,54%,77%,23%,11%,30%,59%,5%,34%,61%,300 or more,24%,
110026,ELBERT MEMORIAL HOSPITAL,4 MEDICAL DRIVE,,,ELBERTON,GA,30635,ELBERT,7062132535,4%,16%,80%,3%,10%,87%,12%,24%,64%,9%,18%,73%,19%,19%,62%,8%,25%,67%,12%,41%,47%,79%,21%,9%,21%,70%,7%,28%,65%,Between 100 and 299,24%,
110027,COBB MEMORIAL HOSPITAL,577 FRANKLIN SPRINGS STREET,,,ROYSTON,GA,30662,FRANKLIN,7062455034,5%,15%,80%,3%,13%,84%,8%,23%,69%,6%,22%,72%,24%,16%,60%,7%,18%,75%,11%,23%,66%,84%,16%,8%,23%,69%,5%,32%,63%,Between 100 and 299,25%,
110028,UNIVERSITY HOSPITAL,1350 WALTON WAY,,,AUGUSTA,GA,30901,RICHMOND,7067229011,5%,17%,78%,6%,12%,82%,12%,26%,62%,7%,23%,70%,22%,15%,63%,6%,21%,73%,7%,28%,65%,82%,18%,7%,18%,75%,3%,14%,83%,300 or more,30%,
110029,"NORTHEAST GEORGIA MEDICAL CENTER, INC",743 SPRING STREET,,,GAINESVILLE,GA,30501,HALL,7705353553,5%,18%,77%,4%,15%,81%,10%,25%,65%,6%,25%,69%,20%,19%,61%,10%,20%,70%,7%,28%,65%,85%,15%,6%,18%,76%,2%,16%,82%,300 or more,32%,
110030,CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,,,CARTERSVILLE,GA,30120,BARTOW,7703878182,6%,18%,76%,6%,16%,78%,11%,26%,63%,9%,22%,69%,20%,17%,63%,9%,20%,71%,9%,26%,65%,83%,17%,10%,24%,66%,8%,29%,63%,300 or more,31%,
110031,SPALDING REGIONAL MEDICAL CENTER,601 SOUTH 8TH STREET,,,GRIFFIN,GA,30223,SPALDING,7702282721,7%,17%,76%,4%,12%,84%,11%,21%,68%,8%,23%,69%,28%,18%,54%,12%,20%,68%,14%,25%,61%,84%,16%,9%,26%,65%,9%,30%,61%,300 or more,34%,
110032,STEPHENS COUNTY HOSPITAL,163 HOSPITAL DRIVE,,,TOCCOA,GA,30577,STEPHENS,7062824250,5%,21%,74%,3%,13%,84%,8%,24%,68%,7%,23%,70%,23%,18%,59%,7%,19%,74%,8%,30%,62%,81%,19%,9%,23%,68%,4%,31%,65%,300 or more,30%,
110034,MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS,1120 15TH STREET,,,AUGUSTA,GA,30912,RICHMOND,7067216569,5%,20%,75%,6%,16%,78%,16%,27%,57%,8%,24%,68%,21%,17%,62%,10%,20%,70%,11%,27%,62%,79%,21%,9%,22%,69%,4%,25%,71%,300 or more,21%,
110035,WELLSTAR KENNESTONE HOSPITAL,677 CHURCH STREET,,,MARIETTA,GA,30060,COBB,7707935000,5%,20%,75%,5%,16%,79%,12%,25%,63%,7%,24%,69%,25%,17%,58%,10%,23%,67%,14%,30%,56%,80%,20%,10%,23%,67%,6%,22%,72%,300 or more,32%,
110036,"MEMORIAL HEALTH UNIV MED CEN, INC",4700 WATERS AVENUE,,,SAVANNAH,GA,31403,CHATHAM,9123508000,5%,19%,76%,4%,16%,80%,12%,27%,61%,7%,23%,70%,20%,19%,61%,15%,26%,59%,15%,32%,53%,80%,20%,9%,22%,69%,4%,21%,75%,300 or more,25%,
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,915 GORDON AVENUE & MIMOSA DRIVE,,,THOMASVILLE,GA,31792,THOMAS,2292282880,6%,16%,78%,3%,13%,84%,14%,22%,64%,8%,21%,71%,21%,17%,62%,10%,19%,71%,8%,27%,65%,81%,19%,9%,23%,68%,3%,23%,74%,300 or more,25%,
110039,TRINITY HOSPITAL OF AUGUSTA,2260 WRIGHTSBORO RD,,,AUGUSTA,GA,30904,RICHMOND,7064817000,6%,17%,77%,3%,13%,84%,12%,24%,64%,8%,21%,71%,20%,16%,64%,11%,22%,67%,8%,25%,67%,84%,16%,8%,23%,69%,5%,21%,74%,300 or more,27%,
110040,NORTHRIDGE MEDICAL CENTER,70 MEDICAL CENTER DRIVE,,,COMMERCE,GA,30529,JACKSON,7063351101,3%,16%,81%,3%,12%,85%,9%,25%,66%,3%,19%,78%,20%,15%,65%,6%,22%,72%,6%,27%,67%,77%,23%,7%,29%,64%,5%,35%,60%,Between 100 and 299,24%,
110041,HABERSHAM COUNTY MEDICAL CTR,541 HISTORIC HIGHWAY 441-NORTH,,,DEMOREST,GA,30535,HABERSHAM,7067542161,7%,26%,67%,6%,20%,74%,22%,29%,49%,9%,32%,59%,29%,18%,53%,15%,22%,63%,13%,33%,54%,78%,22%,18%,28%,54%,9%,35%,56%,300 or more,19%,
110042,WELLSTAR PAULDING HOSPITAL,600 W MEMORIAL DR,,,DALLAS,GA,30132,PAULDING,7704454411,4%,16%,80%,5%,13%,82%,12%,24%,64%,8%,23%,69%,19%,14%,67%,8%,19%,73%,6%,25%,69%,81%,19%,10%,26%,64%,8%,25%,67%,300 or more,28%,
110043,ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,,,SAVANNAH,GA,31419,CHATHAM,9128194100,7%,22%,71%,5%,16%,79%,15%,28%,57%,10%,27%,63%,26%,19%,55%,13%,23%,64%,13%,33%,54%,82%,18%,10%,23%,67%,6%,20%,74%,300 or more,33%,
110044,PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,,,AMERICUS,GA,31719,SUMTER,2299311280,6%,18%,76%,6%,14%,80%,14%,25%,61%,8%,24%,68%,21%,21%,58%,9%,20%,71%,9%,25%,66%,77%,23%,13%,27%,60%,8%,29%,63%,300 or more,20%,
110045,BARROW REGIONAL MEDICAL CENTER,316 NORTH BROAD STREET,,,WINDER,GA,30680,BARROW,7703075210,13%,24%,63%,10%,17%,73%,23%,31%,46%,15%,29%,56%,32%,16%,52%,20%,26%,54%,14%,36%,50%,75%,25%,25%,29%,46%,18%,38%,44%,300 or more,19%,
110046,WALTON REGIONAL MEDICAL CENTER,330 ALCOVY STREET,,,MONROE,GA,30655,WALTON,7702671792,10%,22%,68%,8%,17%,75%,19%,29%,52%,11%,25%,64%,26%,18%,56%,14%,25%,61%,12%,31%,57%,75%,25%,18%,33%,49%,13%,34%,53%,300 or more,22%,
110050,MURRAY MEDICAL CENTER,"707 OLD DALTON ELLIJAY ROAD, PO BOX 1406",,,CHATSWORTH,GA,30705,MURRAY,7065172031,3%,10%,87%,4%,6%,90%,8%,20%,72%,4%,18%,78%,11%,13%,76%,4%,11%,85%,7%,18%,75%,73%,27%,5%,19%,76%,4%,15%,81%,Between 100 and 299,28%,
110051,UNION GENERAL HOSPITAL,214 HOSPITAL CIRCLE,,,BLAIRSVILLE,GA,30512,UNION,7067452111,2%,16%,82%,1%,13%,86%,7%,23%,70%,2%,22%,76%,15%,19%,66%,7%,19%,74%,5%,27%,68%,86%,14%,3%,19%,78%,1%,17%,82%,300 or more,38%,
110054,FLOYD MEDICAL CENTER,304 TURNER MCCALL BLVD P O BOX 233,,,ROME,GA,30162,FLOYD,7065096900,5%,16%,79%,4%,14%,82%,12%,25%,63%,8%,22%,70%,24%,18%,58%,14%,21%,65%,11%,27%,62%,82%,18%,8%,23%,69%,4%,20%,76%,300 or more,23%,
110059,HART COUNTY HOSPITAL,"138 W GIBSON STREET,  P O BOX 280",,,HARTWELL,GA,30643,HART,7068566113,7%,18%,75%,6%,18%,76%,13%,19%,68%,9%,22%,69%,20%,24%,56%,7%,16%,77%,8%,30%,62%,81%,19%,14%,21%,65%,11%,37%,52%,Between 100 and 299,31%,
110064,"MEDICAL CENTER, THE",710 CENTER ST BOX 951,,,COLUMBUS,GA,31901,MUSCOGEE,7065711000,8%,18%,74%,6%,16%,78%,17%,27%,56%,9%,21%,70%,23%,20%,57%,10%,19%,71%,17%,32%,51%,77%,23%,13%,26%,61%,7%,27%,66%,300 or more,21%,
110069,HOUSTON MEDICAL CENTER,1601 WATSON BOULEVARD,,,WARNER ROBINS,GA,31093,HOUSTON,4789224281,8%,24%,68%,7%,17%,76%,17%,32%,51%,12%,25%,63%,26%,16%,58%,12%,23%,65%,12%,35%,53%,80%,20%,12%,27%,61%,7%,30%,63%,300 or more,24%,
110071,APPLING HOSPITAL,163 E TOLLISON STREET,,,BAXLEY,GA,31513,APPLING,9123679841,10%,19%,71%,3%,11%,86%,20%,28%,52%,8%,24%,68%,25%,18%,57%,13%,21%,66%,11%,32%,57%,79%,21%,18%,24%,58%,10%,36%,54%,300 or more,25%,
110073,DORMINY MEDICAL CENTER,"200 PERRY HOUSE ROAD, BOX 1447",,,FITZGERALD,GA,31750,BEN HILL,2294247100,8%,17%,75%,4%,11%,85%,16%,22%,62%,10%,26%,64%,28%,20%,52%,9%,17%,74%,5%,19%,76%,76%,24%,11%,27%,62%,6%,39%,55%,300 or more,30%,
110074,ATHENS REGIONAL MEDICAL CENTER,1199 PRINCE AVENUE,,,ATHENS,GA,30606,CLARKE,7064757000,4%,19%,77%,5%,17%,78%,11%,27%,62%,8%,25%,67%,21%,19%,60%,9%,25%,66%,8%,35%,57%,81%,19%,6%,23%,71%,3%,18%,79%,300 or more,27%,
110075,EAST GEORGIA REGIONAL MEDICAL CENTER,1499 FAIR ROAD,,,STATESBORO,GA,30458,BULLOCH,9124861500,8%,23%,69%,9%,19%,72%,16%,28%,56%,8%,31%,61%,29%,20%,51%,15%,19%,66%,11%,28%,61%,75%,25%,17%,29%,54%,9%,37%,54%,300 or more,22%,
110076,DEKALB MEDICAL CENTER,2701 N DECATUR ROAD,,,DECATUR,GA,30033,DEKALB,4045011000,7%,21%,72%,7%,17%,76%,15%,30%,55%,8%,25%,67%,27%,20%,53%,11%,20%,69%,9%,28%,63%,78%,22%,11%,26%,63%,7%,26%,67%,300 or more,20%,
110078,EMORY UNIVERSITY HOSPITAL MIDTOWN,550 PEACHTREE ST NE,,,ATLANTA,GA,30308,FULTON,4046864411,5%,16%,79%,4%,15%,81%,12%,24%,64%,8%,21%,71%,22%,17%,61%,11%,20%,69%,9%,27%,64%,79%,21%,7%,20%,73%,5%,20%,75%,300 or more,23%,
110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",,,ATLANTA,GA,30303,FULTON,4045894252,13%,21%,66%,5%,16%,79%,30%,26%,44%,14%,23%,63%,26%,21%,53%,22%,23%,55%,14%,29%,57%,77%,23%,18%,26%,56%,8%,32%,60%,300 or more,14%,
110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,,,ATLANTA,GA,30342,FULTON,6788435720,7%,23%,70%,5%,14%,81%,18%,28%,54%,8%,22%,70%,26%,18%,56%,11%,25%,64%,14%,32%,54%,87%,13%,8%,23%,69%,4%,16%,80%,300 or more,38%,
110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,,,ATLANTA,GA,30309,FULTON,4046055000,4%,17%,79%,4%,14%,82%,10%,27%,63%,6%,21%,73%,21%,16%,63%,10%,23%,67%,7%,33%,60%,84%,16%,5%,17%,78%,2%,14%,84%,300 or more,33%,
110086,WASHINGTON COUNTY REGIONAL MEDICAL CENTER,610 SPARTA ROAD,,,SANDERSVILLE,GA,31082,WASHINGTON,4782402100,8%,15%,77%,7%,11%,82%,15%,21%,64%,14%,16%,70%,30%,16%,54%,15%,23%,62%,5%,28%,67%,77%,23%,10%,28%,62%,7%,31%,62%,300 or more,35%,
110087,GWINNETT MEDICAL CENTER,1000 MEDICAL CENTER BOULEVARD,,,LAWRENCEVILLE,GA,30045,GWINNETT,6784424310,5%,21%,74%,6%,18%,76%,9%,33%,58%,6%,27%,67%,23%,18%,59%,5%,20%,75%,9%,30%,61%,83%,17%,7%,17%,76%,4%,18%,78%,300 or more,30%,
110089,COFFEE REGIONAL MEDICAL CENTER,1101 OCILLA ROAD,,,DOUGLAS,GA,31533,COFFEE,2293841900,3%,14%,83%,3%,12%,85%,6%,21%,73%,5%,19%,76%,18%,16%,66%,4%,18%,78%,4%,22%,74%,80%,20%,8%,23%,69%,4%,29%,67%,300 or more,20%,
110091,ROCKDALE MEDICAL CENTER,"1412 MILSTEAD AVENUE, NE",,,CONYERS,GA,30012,ROCKDALE,7709183000,7%,17%,76%,3%,14%,83%,14%,26%,60%,8%,19%,73%,23%,16%,61%,12%,18%,70%,9%,26%,65%,80%,20%,8%,23%,69%,6%,23%,71%,300 or more,26%,
110092,DODGE COUNTY HOSPITAL,901 GRIFFIN AVE,,,EASTMAN,GA,31023,DODGE,4784484067,4%,15%,81%,2%,11%,87%,9%,19%,72%,10%,18%,72%,22%,15%,63%,11%,15%,74%,8%,22%,70%,78%,22%,10%,21%,69%,8%,26%,66%,Between 100 and 299,28%,
110095,TIFT REGIONAL MEDICAL CENTER,901 E 18TH STREET,,,TIFTON,GA,31793,TIFT,2293827120,3%,14%,83%,4%,10%,86%,8%,20%,72%,6%,19%,75%,21%,15%,64%,8%,18%,74%,10%,27%,63%,81%,19%,6%,19%,75%,2%,19%,79%,300 or more,27%,
110100,JEFFERSON HOSPITAL,1067 PEACHTREE ST,,,LOUISVILLE,GA,30434,JEFFERSON,4786257000,4%,17%,79%,2%,14%,84%,10%,27%,63%,7%,22%,71%,16%,18%,66%,4%,21%,75%,2%,27%,71%,80%,20%,7%,24%,69%,4%,24%,72%,Between 100 and 299,25%,
110101,MEMORIAL HOSPITAL OF ADEL INC,706 N PARRISH,,,ADEL,GA,31620,COOK,2298968077,8%,14%,78%,3%,7%,90%,12%,21%,67%,10%,21%,69%,24%,15%,61%,13%,22%,65%,6%,21%,73%,79%,21%,10%,27%,63%,8%,30%,62%,Between 100 and 299,28%,
110104,CRISP REGIONAL HOSPITAL,902 7TH STREET NORTH,,,CORDELE,GA,31015,CRISP,2292763100,7%,20%,73%,4%,16%,80%,13%,32%,55%,10%,28%,62%,25%,15%,60%,8%,19%,73%,12%,24%,64%,70%,30%,14%,31%,55%,12%,37%,51%,300 or more,18%,
110105,COLQUITT REGIONAL MEDICAL CENTER,3131 THOMASVILLE HWY BOX 40,,,MOULTRIE,GA,31768,COLQUITT,2299853420,7%,20%,73%,4%,15%,81%,11%,25%,64%,8%,24%,68%,25%,15%,60%,10%,23%,67%,9%,31%,60%,79%,21%,10%,26%,64%,6%,32%,62%,300 or more,18%,
110107,MEDICAL CENTER OF CENTRAL GEORGIA,777 HEMLOCK STREET,,,MACON,GA,31201,BIBB,4786336805,5%,18%,77%,6%,16%,78%,12%,29%,59%,7%,27%,66%,21%,17%,62%,12%,20%,68%,8%,30%,62%,81%,19%,8%,20%,72%,5%,21%,74%,300 or more,33%,
110109,EMANUEL MEDICAL CENTER,117 KITE ROAD,,,SWAINSBORO,GA,30401,EMANUEL,4782891304,4%,15%,81%,1%,10%,89%,9%,24%,67%,6%,19%,75%,20%,20%,60%,13%,18%,69%,6%,22%,72%,83%,17%,8%,19%,73%,3%,26%,71%,300 or more,29%,
110111,MCDUFFIE REGIONAL MEDICAL CENTER,"521 HILL STREET, SW",,,THOMSON,GA,30824,MCDUFFIE,7065951411,9%,20%,71%,4%,13%,83%,17%,21%,62%,13%,22%,65%,20%,17%,63%,19%,21%,60%,9%,29%,62%,79%,21%,15%,33%,52%,11%,37%,52%,Between 100 and 299,20%,
110112,BERRIEN COUNTY HOSPITAL,1221 EAST MCPHERSON STREET,,,NASHVILLE,GA,31639,BERRIEN,2295437100,4%,18%,78%,0%,3%,97%,7%,20%,73%,8%,15%,77%,15%,21%,64%,11%,29%,60%,3%,24%,73%,81%,19%,8%,27%,65%,5%,28%,67%,Fewer than 100,28%,"Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance"
110113,BURKE MEDICAL CENTER,351 LIBERTY ST,,,WAYNESBORO,GA,30830,BURKE,7065544435,6%,18%,76%,3%,10%,87%,13%,25%,62%,8%,27%,65%,21%,18%,61%,8%,18%,74%,7%,22%,71%,75%,25%,10%,26%,64%,5%,32%,63%,Between 100 and 299,26%,
110115,ATLANTA MEDICAL CENTER,303 PARKWAY DR NE,,,ATLANTA,GA,30312,FULTON,4042654000,7%,20%,73%,5%,15%,80%,18%,25%,57%,10%,22%,68%,22%,19%,59%,12%,18%,70%,9%,29%,62%,81%,19%,10%,28%,62%,8%,26%,66%,300 or more,37%,
110121,GRADY GENERAL HOSPITAL,"1155 5TH STREET, SE",,,CAIRO,GA,39828,GRADY,2293770251,3%,14%,83%,3%,9%,88%,9%,24%,67%,8%,20%,72%,17%,13%,70%,4%,12%,84%,7%,27%,66%,79%,21%,7%,18%,75%,3%,23%,74%,300 or more,28%,
110122,SOUTH GEORGIA MEDICAL CENTER,"2501 NORTH PATTERSON STREET, PO BOX 1727",,,VALDOSTA,GA,31603,LOWNDES,2293331020,7%,22%,71%,6%,17%,77%,15%,30%,55%,8%,25%,67%,24%,20%,56%,13%,22%,65%,11%,29%,60%,73%,27%,11%,26%,63%,5%,28%,67%,300 or more,27%,
110124,WAYNE MEMORIAL HOSPITAL,865 SOUTH FIRST STREET,,,JESUP,GA,31545,WAYNE,9125303302,6%,19%,75%,5%,14%,81%,10%,24%,66%,9%,25%,66%,20%,17%,63%,10%,21%,69%,6%,30%,64%,76%,24%,10%,22%,68%,6%,28%,66%,300 or more,19%,
110125,FAIRVIEW PARK HOSPITAL,200 INDUSTRIAL BOULEVARD,,,DUBLIN,GA,31021,LAURENS,4782743100,6%,16%,78%,5%,14%,81%,11%,27%,62%,8%,22%,70%,21%,18%,61%,9%,16%,75%,8%,26%,66%,81%,19%,7%,25%,68%,5%,32%,63%,300 or more,30%,
110128,MEADOWS REGIONAL MEDICAL CENTER,ONE MEADOWS PARKWAY,,,VIDALIA,GA,30474,TOOMBS,9125355828,6%,16%,78%,2%,12%,86%,7%,21%,72%,3%,18%,79%,24%,15%,61%,9%,18%,73%,6%,28%,66%,85%,15%,6%,24%,70%,4%,19%,77%,300 or more,27%,
110129,"ST FRANCIS HOSPITAL, INC",2122 MANCHESTER EXPRESSWAY,,,COLUMBUS,GA,31995,MUSCOGEE,7065964020,7%,18%,75%,4%,14%,82%,17%,25%,58%,10%,20%,70%,25%,15%,60%,11%,22%,67%,12%,31%,57%,78%,22%,11%,20%,69%,5%,21%,74%,300 or more,31%,
110130,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,,,OCILLA,GA,31774,IRWIN,2294683845,6%,15%,79%,2%,10%,88%,12%,23%,65%,10%,25%,65%,19%,16%,65%,7%,20%,73%,5%,23%,72%,83%,17%,9%,22%,69%,7%,20%,73%,Between 100 and 299,18%,
110132,MEMORIAL HOSPITAL AND MANOR,1500 E SHOTWELL STREET,,,BAINBRIDGE,GA,39819,DECATUR,2292463500,10%,21%,69%,4%,16%,80%,17%,31%,52%,12%,24%,64%,28%,17%,55%,19%,22%,59%,9%,32%,59%,73%,27%,20%,29%,51%,11%,40%,49%,300 or more,22%,
110135,TAYLOR REGIONAL HOSPITAL,1297 MACON HIGHWAY,,,HAWKINSVILLE,GA,31036,PULASKI,4787830200,5%,18%,77%,3%,16%,81%,8%,22%,70%,5%,22%,73%,19%,20%,61%,8%,20%,72%,8%,27%,65%,80%,20%,7%,27%,66%,5%,29%,66%,Between 100 and 299,27%,
110142,EVANS MEMORIAL HOSPITAL,200 N RIVER STREET,,,CLAXTON,GA,30417,EVANS,9127395105,3%,18%,79%,0%,6%,94%,7%,20%,73%,5%,26%,69%,23%,18%,59%,4%,21%,75%,5%,27%,68%,71%,29%,7%,27%,66%,3%,31%,66%,300 or more,30%,
110143,WELLSTAR COBB HOSPITAL,3950 AUSTELL RD,,,AUSTELL,GA,30106,COBB,7707324000,4%,19%,77%,4%,15%,81%,12%,25%,63%,5%,22%,73%,23%,17%,60%,11%,19%,70%,12%,28%,60%,78%,22%,8%,27%,65%,4%,24%,72%,300 or more,28%,
110146,SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,2000 DAN PROCTOR DRIVE,,,SAINT MARYS,GA,31558,CAMDEN,9125766401,6%,19%,75%,7%,12%,81%,11%,28%,61%,9%,26%,65%,20%,17%,63%,7%,20%,73%,6%,27%,67%,81%,19%,8%,24%,68%,5%,29%,66%,300 or more,20%,
110150,OCONEE REGIONAL MEDICAL CENTER,821 N COBB STREET  POST OFFICE BOX 690,,,MILLEDGEVILLE,GA,31061,BALDWIN,4784543550,7%,19%,74%,7%,15%,78%,14%,29%,57%,9%,24%,67%,21%,18%,61%,15%,19%,66%,8%,27%,65%,80%,20%,11%,33%,56%,7%,33%,60%,300 or more,22%,
110153,PERRY HOSPITAL,1120 MORNINGSIDE DR,,,PERRY,GA,31069,HOUSTON,4789873600,5%,20%,75%,3%,13%,84%,14%,26%,60%,7%,25%,68%,24%,18%,58%,10%,21%,69%,11%,30%,59%,81%,19%,10%,26%,64%,7%,28%,65%,300 or more,24%,
110161,NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE",,,ATLANTA,GA,30342,FULTON,4048518000,4%,19%,77%,4%,16%,80%,11%,26%,63%,5%,22%,73%,20%,20%,60%,7%,21%,72%,10%,28%,62%,84%,16%,6%,18%,76%,3%,16%,81%,300 or more,32%,
110163,PALMYRA MEDICAL CENTERS,2000 PALMYRA RD BOX 1908,,,ALBANY,GA,31701,DOUGHERTY,2294342000,10%,17%,73%,7%,14%,79%,18%,25%,57%,9%,24%,67%,25%,17%,58%,13%,20%,67%,7%,23%,70%,81%,19%,8%,24%,68%,7%,20%,73%,300 or more,32%,
110164,COLISEUM MEDICAL CENTER,350 HOSPITAL DRIVE,,,MACON,GA,31217,BIBB,4787654100,6%,18%,76%,4%,14%,82%,15%,27%,58%,10%,20%,70%,21%,17%,62%,18%,21%,61%,8%,26%,66%,84%,16%,8%,25%,67%,6%,22%,72%,300 or more,31%,
110165,SOUTHERN REGIONAL MEDICAL CENTER,"11 UPPER RIVERDALE ROAD, SW",,,RIVERDALE,GA,30274,CLAYTON,7709918160,10%,19%,71%,7%,17%,76%,16%,26%,58%,11%,21%,68%,26%,17%,57%,14%,21%,65%,9%,23%,68%,75%,25%,15%,26%,59%,9%,32%,59%,300 or more,21%,
110168,REDMOND REGIONAL MEDICAL CENTER,501 REDMOND ROAD,,,ROME,GA,30165,FLOYD,7068023012,4%,15%,81%,3%,13%,84%,8%,22%,70%,6%,22%,72%,22%,17%,61%,8%,18%,74%,6%,23%,71%,84%,16%,5%,19%,76%,3%,16%,81%,300 or more,35%,
110177,DOCTORS HOSPITAL,3651 WHEELER ROAD,,,AUGUSTA,GA,30909,RICHMOND,7066516008,6%,18%,76%,3%,13%,84%,14%,24%,62%,7%,21%,72%,21%,17%,62%,9%,16%,75%,11%,25%,64%,83%,17%,8%,20%,72%,5%,20%,75%,300 or more,32%,
110183,EMORY-ADVENTIST HOSPITAL,3949 SOUTH COBB DRIVE,,,SMYRNA,GA,30080,COBB,7704340710,12%,25%,63%,11%,20%,69%,28%,30%,42%,16%,28%,56%,30%,22%,48%,11%,23%,66%,14%,30%,56%,74%,26%,20%,24%,56%,18%,26%,56%,Between 100 and 299,17%,
110184,WELLSTAR DOUGLAS HOSPITAL,8954 HOSPITAL DRIVE,,,DOUGLASVILLE,GA,30134,DOUGLAS,7709491500,4%,18%,78%,4%,17%,79%,11%,20%,69%,6%,24%,70%,20%,19%,61%,7%,18%,75%,10%,28%,62%,79%,21%,9%,21%,70%,5%,23%,72%,300 or more,26%,
110186,DOCTORS HOSPITAL,616 19TH STREET,,,COLUMBUS,GA,31901,MUSCOGEE,7064944262,6%,17%,77%,3%,13%,84%,11%,24%,65%,6%,21%,73%,22%,16%,62%,9%,19%,72%,5%,18%,77%,83%,17%,9%,20%,71%,5%,20%,75%,300 or more,23%,
110187,CHESTATEE REGIONAL HOSPITAL,227 MOUNTAIN DR,,,DAHLONEGA,GA,30533,LUMPKIN,7068646136,7%,20%,73%,5%,14%,81%,15%,24%,61%,6%,25%,69%,19%,20%,61%,13%,24%,63%,9%,24%,67%,80%,20%,14%,24%,62%,8%,29%,63%,300 or more,27%,
110189,FANNIN REGIONAL HOSPITAL,2855 OLD HIGHWAY 5 NORTH,,,BLUE RIDGE,GA,30513,FANNIN,7066323711,2%,15%,83%,3%,12%,85%,6%,22%,72%,4%,19%,77%,20%,15%,65%,9%,17%,74%,10%,29%,61%,86%,14%,5%,19%,76%,4%,25%,71%,300 or more,34%,
110190,FLINT RIVER HOSPITAL,"509 SUMTER STREET, BOX 770",,,MONTEZUMA,GA,31063,MACON,4784723100,5%,11%,84%,1%,10%,89%,10%,15%,75%,3%,20%,77%,15%,27%,58%,10%,15%,75%,3%,20%,77%,84%,16%,5%,28%,67%,4%,21%,75%,Between 100 and 299,25%,
110191,"HENRY MEDICAL CENTER, INC",1133 EAGLE'S LANDING PARKWAY,,,STOCKBRIDGE,GA,30281,HENRY,6786041000,8%,22%,70%,7%,20%,73%,15%,26%,59%,10%,23%,67%,25%,21%,54%,13%,21%,66%,11%,33%,56%,80%,20%,12%,29%,59%,9%,28%,63%,300 or more,27%,
